i,real,imag
5,-0.2624,0.0000
5,-0.5000,-0.000005702
5,-0.5000,0.000005702
5,-0.6000,0.0000
5,-0.5000,0.0000
5,-0.4000,0.0000
5,-0.5000,-0.00001091
5,-0.5000,0.00001091
5,-0.8091,0.0000
5,-0.6602,0.0000
5,-0.5000,0.0000
5,-0.3398,0.0000
5,-0.1909,0.0000
5,-0.7611,0.0000
5,-0.6667,0.0000
5,-0.5000,0.0000
5,-0.3333,0.0000
5,-0.2389,0.0000
5,-0.8170,0.0000
5,-0.6609,0.0000
5,-0.5000,0.0000
5,-0.3391,0.0000
5,-0.1830,0.0000
5,-0.7376,0.0000
5,-0.6667,0.0000
5,-0.5000,0.0000
5,-0.3333,0.0000
5,-0.2624,0.0000
5,-0.5000,0.0000
5,-0.6814,-0.1892
5,-0.6814,0.1892
5,-0.3186,-0.1892
5,-0.3186,0.1892
5,-0.5000,0.0000
5,-0.7221,-0.06090
5,-0.7221,0.06090
5,-0.2779,-0.06090
5,-0.2779,0.06090
5,-0.5000,0.0000
5,-0.7065,-0.1405
5,-0.7065,0.1405
5,-0.2935,-0.1405
5,-0.2935,0.1405
5,-0.5000,0.0000
5,-0.7477,-0.2148
5,-0.7477,0.2148
5,-0.2523,-0.2148
5,-0.2523,0.2148
5,-0.5000,0.0000
5,-0.7357,-0.1059
5,-0.7357,0.1059
5,-0.2643,-0.1059
5,-0.2643,0.1059
5,-0.7731,0.0000
5,-0.7500,0.0000
5,-0.5000,0.0000
5,-0.2500,0.0000
5,-0.2269,0.0000
5,-0.8282,0.0000
5,-0.5000,0.0000
5,-0.1718,0.0000
5,-0.5000,-0.09041
5,-0.5000,0.09041
5,-0.7868,0.0000
5,-0.5000,0.0000
5,-0.2132,0.0000
5,-0.5000,-0.3295
5,-0.5000,0.3295
5,-0.8162,0.0000
5,-0.5000,0.0000
5,-0.1838,0.0000
5,-0.5000,-0.1239
5,-0.5000,0.1239
5,-0.8330,0.0000
5,-0.5000,0.0000
5,-0.1670,0.0000
5,-0.5000,-0.08804
5,-0.5000,0.08804
5,-0.7899,0.0000
5,-0.5000,0.0000
