i,real,imag
6,-0.5000,0.3229
6,-0.8819,0.0000
6,-0.1181,0.0000
6,-0.6757,-0.1351
6,-0.6757,0.1351
6,-0.3243,-0.1351
6,-0.3243,0.1351
6,-0.8728,0.0000
6,-0.6819,0.0000
6,-0.3181,0.0000
6,-0.1272,0.0000
6,-0.5000,-0.1780
6,-0.5000,0.1780
6,-0.8969,0.0000
6,-0.6180,0.0000
6,-0.3820,0.0000
6,-0.1031,0.0000
6,-0.5000,-0.00000005756
6,-0.5000,0.00000005756
6,-0.8560,0.0000
6,-0.1440,0.0000
6,-0.5000,-0.2975
6,-0.5000,-0.00000005926
6,-0.5000,0.00000005926
6,-0.5000,0.2975
6,-0.8834,0.0000
6,-0.1166,0.0000
6,-0.5000,-0.1479
6,-0.5000,-0.00000006221
6,-0.5000,0.00000006221
6,-0.5000,0.1479
6,-0.8344,0.0000
6,-0.1656,0.0000
6,-0.5646,-0.2076
6,-0.5646,0.2076
6,-0.4354,-0.2076
6,-0.4354,0.2076
6,-0.8264,0.0000
6,-0.1736,0.0000
6,-0.6040,-0.2508
6,-0.6040,0.2508
6,-0.3960,-0.2508
6,-0.3960,0.2508
6,-0.8765,0.0000
6,-0.1235,0.0000
6,-0.6544,-0.09599
6,-0.6544,0.09599
6,-0.3456,-0.09599
6,-0.3456,0.09599
6,-0.8686,0.0000
6,-0.6892,0.0000
6,-0.3108,0.0000
6,-0.1314,0.0000
6,-0.5000,-0.1194
6,-0.5000,0.1194
6,-0.8461,0.0000
6,-0.1539,0.0000
6,-0.5956,-0.1818
6,-0.5956,0.1818
6,-0.4044,-0.1818
6,-0.4044,0.1818
6,-0.7865,0.0000
6,-0.2135,0.0000
6,-0.7012,-0.2581
6,-0.7012,0.2581
6,-0.2988,-0.2581
6,-0.2988,0.2581
6,-0.9132,0.0000
6,-0.6667,0.0000
6,-0.6359,0.0000
6,-0.3641,0.0000
6,-0.3333,0.0000
6,-0.08681,0.0000
6,-0.8836,0.0000
6,-0.8146,0.0000
6,-0.1854,0.0000
6,-0.1164,0.0000
6,-0.5000,-0.1015
6,-0.5000,0.1015
6,-0.8739,0.0000
6,-0.7835,0.0000
6,-0.2165,0.0000
6,-0.1261,0.0000
6,-0.5000,-0.1791
6,-0.5000,0.1791
6,-0.8824,0.0000
6,-0.8394,0.0000
6,-0.5000,0.0000
6,-0.5000,0.0000
6,-0.1606,0.0000
6,-0.1176,0.0000
6,-0.8737,0.0000
6,-0.7974,0.0000
6,-0.2026,0.0000
6,-0.1263,0.0000
6,-0.5000,-0.06559
6,-0.5000,0.06559
6,-0.8601,0.0000
6,-0.7406,0.0000
6,-0.2594,0.0000
6,-0.1399,0.0000
6,-0.5000,-0.1954
6,-0.5000,0.1954
6,-0.8797,0.0000
6,-0.7993,0.0000
6,-0.5000,0.0000
6,-0.5000,0.0000
6,-0.2007,0.0000
6,-0.1203,0.0000
6,-0.8562,0.0000
6,-0.6947,0.0000
6,-0.3053,0.0000
6,-0.1438,0.0000
6,-0.5000,-0.08248
6,-0.5000,0.08248
6,-0.8565,0.0000
6,-0.6208,0.0000
6,-0.5000,0.0000
6,-0.5000,0.0000
6,-0.3792,0.0000
6,-0.1435,0.0000
6,-0.8654,0.0000
6,-0.7509,0.0000
6,-0.2491,0.0000
6,-0.1346,0.0000
6,-0.5000,-0.04374
6,-0.5000,0.04374
6,-0.8541,0.0000
6,-0.1459,0.0000
6,-0.5000,-0.2367
6,-0.5000,-0.1119
6,-0.5000,0.1119
6,-0.5000,0.2367
6,-0.8901,0.0000
6,-0.1099,0.0000
6,-0.6707,-0.05698
6,-0.6707,0.05698
6,-0.3293,-0.05698
6,-0.3293,0.05698
6,-0.8488,0.0000
6,-0.6505,0.0000
6,-0.3495,0.0000
6,-0.1512,0.0000
6,-0.5000,-0.1971
6,-0.5000,0.1971
6,-0.8745,0.0000
6,-0.7209,0.0000
6,-0.5000,0.0000
6,-0.5000,0.0000
6,-0.2791,0.0000
6,-0.1255,0.0000
6,-0.8451,0.0000
6,-0.1549,0.0000
6,-0.5000,-0.1482
6,-0.5000,-0.00000002749
6,-0.5000,0.00000002749
6,-0.5000,0.1482
6,-0.8450,0.0000
6,-0.1550,0.0000
6,-0.6372,-0.1347
6,-0.6372,0.1347
6,-0.3628,-0.1347
6,-0.3628,0.1347
6,-0.8374,0.0000
6,-0.1626,0.0000
6,-0.5481,-0.2200
6,-0.5481,0.2200
6,-0.4519,-0.2200
6,-0.4519,0.2200
6,-0.8705,0.0000
6,-0.1295,0.0000
6,-0.6580,-0.1203
6,-0.6580,0.1203
6,-0.3420,-0.1203
6,-0.3420,0.1203
6,-0.8700,0.0000
